_id;link;name;source;time
5e9c6face07c0197bc24df6d;https://yandex.ru/news/story/Novuyu_komandu_Mstitelej_v_kinovselenoj_Marvel_vozglavit_zhenshhina--447c96d4ae69fab05b534daf179506ec?lr=213&lang=ru&stid=ww_s7HOvd-b40O7Zo4DJ&persistent_id=94344047&rubric=culture&from=index;Новую команду «Мстителей» в киновселеной Marvel возглавит женщина;Российская газета;2020-04-19 17:34:00
5e9c6face07c0197bc24df6e;https://yandex.ru/news/story/V_Moskve_umer_kompozitor_Aleksandr_Vustin--cb3aa715d9c41d73ba16caa2b2e300ec?lr=213&lang=ru&stid=HbsSBAUAZBzJh0TNhr80&persistent_id=94925278&rubric=culture&from=index;В Москве умер композитор Александр Вустин;Москва 24;2020-04-19 17:57:00
5e9c6face07c0197bc24df6f;https://yandex.ru/news/story/Mirovye_zvezdy_ustroili_mnogochasovoj_onlajn-koncert_v_podderzhku_vrachej--cae4172cff33f86e22cf30c52deee3e2?lr=213&lang=ru&stid=X8RwbuT8F-3XwYlXs9Pz&persistent_id=93365939&rubric=culture&from=index;Мировые звезды устроили многочасовой онлайн-концерт в поддержку врачей;НТВ;2020-04-19 17:46:00
5e9c6face07c0197bc24df70;https://yandex.ru/news/story/Skonchalsya_pisatel_Aleksandr_Kabakov--88ac3bca51f5e13f926eb0e2fdba70f5?lr=213&lang=ru&stid=xTjpeiYg4zARGGb8s1JE&persistent_id=94886241&rubric=culture&from=index;Скончался писатель Александр Кабаков;Новые Известия;2020-04-19 17:54:00
5e9c6face07c0197bc24df71;https://yandex.ru/news/story/V_Rossii_sozdan_mini-PK_na_processore_Bajkal--b70fad2967030a5cd31c1e77637d0359?lr=213&lang=ru&stid=p3pY3_mDLNoSw9SiL_ey&persistent_id=94837824&rubric=computers&from=index;В России создан мини-ПК на процессоре «Байкал»;OAnews;2020-04-19 11:07:00
5e9c6face07c0197bc24df72;https://yandex.ru/news/story/LG_pokazala_na_video_dizajn_novogo_smartfona_Velvet--db433f25f91a5b2da4bd6ffae1de9185?lr=213&lang=ru&stid=k64xaxVKoFoEOoRpSBsX&persistent_id=94896901&rubric=computers&from=index;LG показала на видео дизайн нового смартфона Velvet;iReactor;2020-04-19 17:11:00
5e9c6face07c0197bc24df73;https://yandex.ru/news/story/Google_khochet_vypustit_sobstvennuyu_umnuyu_debetovuyu_kartu--5d6346a77193a3c3cdc24a1e3e2ecace?lr=213&lang=ru&stid=y5QFRYBMsAoDo33khAc2&persistent_id=94814948&rubric=computers&from=index;Google хочет выпустить собственную «умную» дебетовую карту;Astera;2020-04-19 16:46:00
5e9c6face07c0197bc24df74;https://yandex.ru/news/story/ASUS_ranshe_vremeni_rassekretila_platy_Prime_Z490-P_i_Prime_Z490-A--971dda6b8f2c9797ac0ab206be059ad0?lr=213&lang=ru&stid=yVThkYF2KGdWMGJmRqI0&persistent_id=94818913&rubric=computers&from=index;ASUS раньше времени рассекретила платы Prime Z490-P и Prime Z490-A;Игромания.ру;2020-04-19 17:38:00
5e9c6face07c0197bc24df75;https://yandex.ru/news/story/Sikvel_ATOM_RPG_vyjdet_v_rannij_dostup_uzhe_11_maya--bf7a7ffe62dc30874a85bde238da0a0d?lr=213&lang=ru&persistent_id=94919807&rubric=computers&from=index;Сиквел ATOM RPG выйдет в ранний доступ уже 11 мая;Игромания.ру;2020-04-19 13:19:00
5e9c6face07c0197bc24df76;https://yandex.ru/news/story/Sozdany_solnechnye_batarei_s_maksimalnym_KPD--eeda91b614a0f4f6cbfd2aae2269b50d?lr=213&lang=ru&stid=LRyZzZFQETdhxfC9RFvL&persistent_id=94098770&rubric=science&from=index;Созданы солнечные батареи с максимальным КПД;Российская газета;2020-04-19 13:47:00
